name,city,state,location_type,job_title,source_name,year,ad_id,city_state,lon,lat,ma_popup
Wm. H. Hull,Barre,MA,Store,Tailoress,Hampshire Gazette,1839,Hull 1,"Barre, MA",-72.10510275183113,42.42290442239273,"<b> Wm. H. Hull </b> <br> 1839 <br> Tailoress <br> Barre, MA <br> Hampshire Gazette"
Wm. H. Hull,Barre,MA,Store,Tailoress; apprentices,Barre Gazette,1839,Hull 2,"Barre, MA",-72.10509791689546,42.4229053484937,"<b> Wm. H. Hull </b> <br> 1839 <br> Tailoress; apprentices <br> Barre, MA <br> Barre Gazette"
Miss S. Osborn; Miss C. Osborn,Northampton,MA,NA,Milliner; Dressmaker; apprentices,Hampshire Gazette,1832,Osborn 1,"Northampton, MA",-72.64120545941469,42.325090387561104,"<b> Miss S. Osborn; Miss C. Osborn </b> <br> 1832 <br> Milliner; Dressmaker; apprentices <br> Northampton, MA <br> Hampshire Gazette"
Miss S. Osborn; Miss C. Osborn,Northampton,MA,NA,Milliner; Dressmaker; apprentices,Hampshire Gazette,1833,Osborn 2,"Northampton, MA",-72.64120597959193,42.32508892140791,"<b> Miss S. Osborn; Miss C. Osborn </b> <br> 1833 <br> Milliner; Dressmaker; apprentices <br> Northampton, MA <br> Hampshire Gazette"
Stephen Whiting,Petersham,MA,NA,Tailor,Farmer's Gazette,1835,Whiting,"Petersham, MA",-72.18667426250482,42.48377456746982,"<b> Stephen Whiting </b> <br> 1835 <br> Tailor <br> Petersham, MA <br> Farmer's Gazette"
Sarah W. Hathaway,Barre,MA,Rooms,Milliner,Barre Gazette,1836,Hathaway,"Barre, MA",-72.10510001934145,42.42290421464848,"<b> Sarah W. Hathaway </b> <br> 1836 <br> Milliner <br> Barre, MA <br> Barre Gazette"
F. Kilner,Barre,MA,NA,Tailoress; apprentices,Barre Gazette,1839,Kilner,"Barre, MA",-72.10509437237002,42.422905275255374,"<b> F. Kilner </b> <br> 1839 <br> Tailoress; apprentices <br> Barre, MA <br> Barre Gazette"
Sarah Sanders; Sanders sisters,Lowell,MA,NA,Dressmaker; milliner,Lowell City Directory,1835,Sanders,"Lowell, MA",-71.31617194992776,42.63342467085202,"<b> Sarah Sanders; Sanders sisters </b> <br> 1835 <br> Dressmaker; milliner <br> Lowell, MA <br> Lowell City Directory"
Hannah E. Freeman,Worcester,MA,NA,Dressmaker,Worcester City Directory,1844,Freeman,"Worcester, MA",-71.80229813104113,42.262592840676625,"<b> Hannah E. Freeman </b> <br> 1844 <br> Dressmaker <br> Worcester, MA <br> Worcester City Directory"
Lucina Grover,Worcester,MA,NA,Dressmaker,Worcester City Directory,1844,Worcester1844,"Worcester, MA",-71.80229770120395,42.26259326272572,"<b> Lucina Grover </b> <br> 1844 <br> Dressmaker <br> Worcester, MA <br> Worcester City Directory"
